dob,sex,maternal_last,paternal_last,state,first_name
2000-10-09,M,Segovia,Avilés,HG,Oswaldo
1982-03-12,M,Corrales,Negrón,BS,Minerva
1997-02-03,H,Ayala,Benítez,SR,Alejandro
1978-06-17,M,Garibay,Ríos,DG,Frida
1966-02-03,M,Cadena,Zavala,DF,Juan
2001-05-27,H,Muñoz,Guzmán,SL,Dulce María
1999-05-15,M,Palacios,Caraballo,BC,Elvia
1978-04-06,H,Burgos,Razo,CC,Fidel
1997-12-07,M,Padrón,Coronado,MS,Mayte
1999-10-10,M,Bonilla,Garza,MC,José Luis
1991-03-04,M,Orozco,Cantú,TC,Emilia
2001-03-24,M,Villegas,Guajardo,GT,Mitzy
1963-02-10,H,Villanueva,Bétancourt,TC,Lorena
1981-10-21,H,Zavala,Ortega,CH,Estela
1998-12-10,M,Ulloa,Orellana,HG,Evelio
1991-12-27,M,Meraz,Guzmán,NA,Óscar
1951-06-24,M,Serrano,Borrego,SL,Ana Luisa
2007-02-21,M,Martínez,González,SR,María Luisa
2002-03-27,H,Figueroa,Meraz,TC,María Cristina
1980-09-05,M,Téllez,Gurule,MN,Samuel
